anch,pos,neg
WAKFS MINISTER: 1663 COPTIC BROTHERS BENEFIT OF ISLAMIC WAKFS INVESTMENTS!,وزير الأوقاف : 1663 شقيقا قبطيا يفيدون من استثمارات الأوقاف الإسلامية,تقرير للمجالس القومية المتخصصة ينتقد الوضع التكنولوجي في مصر
The government and the state are the first to blame for the poor level of technological and scientific progress in the Egyptian society as this question is a strategic one that has to do with the society and its entire entity.,وأكد التقرير ان المسئول الأول عن حالة التقدم  التكنولوجي والعلمي للمجتمع المصري هي الحكومة ..     الدولة لأنها مسألة استراتيجية تتعلق بحالة المجتمع وكيانه  الكامل وتوليد المعرفة التكنولوجية الجديدة.,حصار إيران
"Minister of Transport, Ibrahim Al-Demeiri announced that the economic evaluation of the Holding Company for Civil Aviation is now being made by a high-level committee from of the ministries of Transport and Finance to determine the capital and the government's quota after the issuance of the presidential decree to turn it from the General Authority for Civil Aviation into the Holding Company.",وأعلن الدكتور إبراهيم الدميري وزير النقل، أنه يجري حاليا التقويم الاقتصادي للشركة القابضة للطيران،  من خلال لجنة علي مستوي عال من وزارتي النقل والمالية، لتحديد رأس المال وحصة الحكومة فيها، بعد  صدور القرار الجمهوري بتحويلها من الهيئة العامة للطيران المدني الي الشركة القابضة.,وأضاف أن  الاتحاد سيقوم بعد ذلك بتنظيم رحلات إلى دول السوق المشتركة لشرق وجنوب أفريقيا كوميسا خاصة  أن هذه الدول تطبق نسباً من الإعفاء الجمركي تصل في بعض الحالات إلى مائة في المائة.
"It is the unclear Arab stance that encouraged Sharon, the new Nazi, to carry on with aggression.",إن الموقف العربي غير الواضح هو الذي شجع شارون النازي الجديد بالتمادي في غيه  وعدوانه.,ما افرزته التوجيهات الايرانية من مفردات تصدير الثورة ومساندة الجماعات الإسلامية المتطرفة ودعم  الارهاب.
"In an unprecedented step representing a qualitative move on the way of achieving Arab economic integration, Egypt, Syria, Jordan and Lebanon signed an executive agreement to transport and distribute Egyptian natural gas to Syria, Jordan and Lebanon.",في خطوة غير مسبوقة تمثل نقلة نوعية في أسلوب تحقيق التكامل الاقتصادي  وقعت مصر وسوريا والأردن ولبنان اتفاقية تنفيذية لنقل وتوزيع الغاز الطبيعي  المصري الي كل من : سوريا والأردن ولبنان.,طالبت الجمعيات بتدخل القيادة السياسية لوقف عمليات خصخصة البحيرة والتي تهدد  مستقبل 12 ألف صياد يعملون بالبحيرة.
"According to the report, what causes concern is the fact that the crucial indicator of the economy's capacity to generate growth is the ratio between investment and GDP, which is unfortunately still low by all means.   It failed to go beyond 24.3% in 1998/1999 at current prices and 19.9%, the next year at the fixed prices.   It added that such investments had grown at fixed rates by 3.8% between 1996/1997 and 1999/2000, but they are still less than the rate required for achieving an annual growth of 8%.",ومما يثير القلق كما يقول التقرير أن نسبة الاستثمار إلى الناتج المحلي الإجمالي وهو المؤشر المهم علي قدرة  الاقتصاد علي توليد النمو مازالت منخفضة بكل المعايير فهي لم تتجاوز 24.3% في سنة 98/99 بالأسعار  الجارية و19.9% العام التالي بالأسعار الثابتة بنسبة 3.8% ما بين عامي 96/97  و99/2000 إلا أنها ما  زالت دون المعدل المطلوب لتحقيق نمو سنوي يبلغ 8% سنوياً.,العالم اليوم ص1          8/4/2001
"AK/ Al-Hayat, 29/8/2001",الحياة ص1           29/8/2001,العالم اليوم ص1         21/7/2001
The minister indicated in a statement to Al-Alam Al-Youm that the new zone's investments exceeded tens of millions of dollars and that the material proceeds would substantially be guaranteed.,"وأشار الوزير في تصريح لـ ""العالم اليوم"" إلى أن استثمارات هذه المنطقة تتجاوز عشرات الملايين من  الدولارات، إلا أن العائد المادي مضمون بدرجة كبيرة.",وأوضح وزير البترول أنه في مجال خدمة توسيع شبكة الغاز الطبيعي بمحافظات الجمهورية تم  توصيل الغاز إلى 1.5 مليون وحدة سكنية ..
Banque du Caire had asked Interpol to provide information about a director of a foreign company operating in Egypt.   Interpol replied that the bank should ask its loan applicants to provide evidence that they had no criminal records in their home countries.,كان بنك القاهرة قد تقدم بطلب للانتربول للحصول على معلومات عن أحد اعضاء مجلس إدارة شركة  اجنبية تعمل في مصر، إلا أن الانتربول طلب من البنك تكليف المتقدمين للحصول على قروض بتقديم ما  يفيد عدم وجود معلومات جنائية مسجلة لهم من دولهم.,د.   أسامة الباز : العرب مطالبون بالعمل على إعادة الثقة إلى روسيا
"Besides, the case is pending in court, and the Egyptian judicial system is trustworthy and impartial.   Q: Do you support Palestinian suicidal attacks as a legitimate tool of resistance?   What do you want Arab peoples and rulers to do in support of the Palestinian people?",هل تؤيدون العمليات الانتحارية الفلسطينية كإحدى أدوات المقاومة وما هو مطلبكم من العربية  والحكام العرب لتأييد الشعب الفلسطيني، ومن هو المرشح لخلافتكم في منصب المرشد العام للإخوان  المسلمين؟,الوفد ص1        10/7/2001
